"STATION","NAME","DATE","TMAX"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-01","89"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-02","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-03","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-04","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-05","93"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-06","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-07","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-08","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-09","84"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-10","85"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-11","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-12","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-13","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-14","85"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-15","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-16","71"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-17","81"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-18","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-19","80"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-20","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-21","69"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-22","81"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-23","76"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-24","86"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-25","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-26","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-27","97"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-28","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-29","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-04-30","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-01","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-02","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-03","89"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-04","86"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-05","81"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-06","83"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-07","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-08","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-09","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-10","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-11","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-12","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-13","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-14","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-15","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-16","99"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-17","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-18","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-19","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-20","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-21","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-22","93"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-23","89"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-24","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-25","100"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-26","99"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-27","100"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-28","100"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-29","99"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-30","100"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-05-31","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-01","104"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-02","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-03","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-04","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-05","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-06","91"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-07","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-08","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-09","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-10","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-11","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-12","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-13","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-14","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-15","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-16","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-17","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-18","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-19","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-20","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-21","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-22","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-23","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-24","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-25","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-26","112"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-27","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-28","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-29","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-06-30","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-01","113"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-02","112"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-03","113"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-04","116"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-05","115"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-06","113"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-07","112"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-08","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-09","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-10","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-11","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-12","111"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-13","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-14","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-15","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-16","114"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-17","112"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-18","113"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-19","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-20","103"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-21","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-22","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-23","104"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-24","95"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-25","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-26","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-27","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-28","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-29","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-30","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-07-31","100"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-01","98"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-02","102"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-03","105"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-04","104"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-05","96"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-06","90"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-07","101"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-08","106"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-09","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-10","104"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-11","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-12","114"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-13","112"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-14","108"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-15","107"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-16","110"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-17","109"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-08-18","111"
